permit_number,address,type,value
2025-105497 EP,"5120 JEKINS CV, Austin, TX",Electrical Permit,$287038
2025-089615 EP,"11066 PECAN PARK BLVD UNIT MECH, Austin, TX",Electrical Permit,$127810
2025-134769 PP,"2302 STANDISH DR, Austin, TX",Plumbing Permit,$99138
2025-134981 EP,"2702 MOONLIGHT BND, Austin, TX",Electrical Permit,$79342
2025-070698 EP,"12416 MALLARD LN, Austin, TX",Electrical Permit,$178280
2025-140012 BP,"11312 COUNTY DOWN DR, Austin, TX",Building Permit,$251647
2025-137168 EP,"6305 WAYNESBURG CV, Austin, TX",Electrical Permit,$164189
2025-138181 PP,"2507 INWOOD PL, Austin, TX",Plumbing Permit,$295288
2025-137097 BP,"503 SWANEE DR UNIT 3, Austin, TX",Building Permit,$141888
2025-094472 DS,"4700 PHILCO DR, Austin, TX",Driveway / Sidewalks,$200401
2025-138685 BP,"12901 STAYWELL WAY, Austin, TX",Building Permit,$90214
2025-132713 MP,"7601 RIDGESTONE DR, Austin, TX",Mechanical Permit,$144685
2025-055173 MP,"612 BRAZOS ST, Austin, TX",Mechanical Permit,$224600
2025-138172 EP,"5624 N LAMAR BLVD, Austin, TX",Electrical Permit,$162064
2025-139198 MP,"5105 PROCK LN, Austin, TX",Mechanical Permit,$216944
2025-139267 PP,"3020 JUBILEE TRL, Austin, TX",Plumbing Permit,$136883
2024-100574 EP,"3604 TOM MILLER ST, Austin, TX",Electrical Permit,$200899
2025-138553 EP,"12901 N IH 35 SVRD NB, Austin, TX",Electrical Permit,$163846
2025-135467 MP,"10616 LEGENDS LN, Austin, TX",Mechanical Permit,$284777
2025-131430 MP,"7506 SHERWOOD RD, Austin, TX",Mechanical Permit,$244826
2025-089617 PP,"11066 PECAN PARK BLVD UNIT MECH, Austin, TX",Plumbing Permit,$134450
2025-118575 MP,"12565 RIATA VISTA CIR BLDG 4, Austin, TX",Mechanical Permit,$219753
2025-124131 PP,"5108 FAIRVIEW DR, Austin, TX",Plumbing Permit,$175091
2025-065776 EP,"1200 BELMONT PKWY, Austin, TX",Electrical Permit,$137913
2025-139535 BP,"4004 LOB CV, Austin, TX",Building Permit,$109386
2025-125029 EP,"3308 STONERIDGE RD BLDG 1, Austin, TX",Electrical Permit,$242658
2025-113227 EP,"2900 WILLOWBRIDGE CIR, Austin, TX",Electrical Permit,$151200
2025-136788 PP,"6921 SHANNON DR, Austin, TX",Plumbing Permit,$208992
2025-137678 EP,"2420 DREW LN BLDG 4, Austin, TX",Electrical Permit,$241590
2025-110828 EP,"11515 BURNET RD UNIT 875, Austin, TX",Electrical Permit,$52036
2025-138169 EP,"5624 N LAMAR BLVD, Austin, TX",Electrical Permit,$124006
2025-105801 EP,"2003 GREENWOOD AVE BLDG 2, Austin, TX",Electrical Permit,$92992
2025-138656 PP,"9110 CURLEW DR, Austin, TX",Plumbing Permit,$103281
2025-107231 EP,"110 BELLA MONTAGNA CIR, Austin, TX",Electrical Permit,$138761
2025-107767 PP,"7010 WOODFORD WAY, Austin, TX",Plumbing Permit,$266019
2025-094299 PP,"5108 FAIRVIEW DR, Austin, TX",Plumbing Permit,$72012
2025-121225 EP,"7700 ROBALO RD, Austin, TX",Electrical Permit,$268865
2025-069068 DS,"1037 NILE ST BLDG 1, Austin, TX",Driveway / Sidewalks,$69258
2025-107963 EP,"11514 ROCKWELL PL, Austin, TX",Electrical Permit,$173824
2025-123743 PP,"8820 BURNET RD UNIT 400, Austin, TX",Plumbing Permit,$191802
2025-114415 EP,"6505 LADERA NORTE, Austin, TX",Electrical Permit,$236340
2025-111860 PP,"5914 LOST HORIZON DR, Austin, TX",Plumbing Permit,$279658
2025-135491 PP,"6114 SIERRA LEON, Austin, TX",Plumbing Permit,$150870
2025-137827 EP,"12707 PALFREY DR, Austin, TX",Electrical Permit,$135191
2025-127553 MP,"9500 ARBORETUM BLVD UNIT 210, Austin, TX",Mechanical Permit,$85170
2025-136883 PP,"8304 HIGH OAK DR, Austin, TX",Plumbing Permit,$299539
2025-103490 EP,"1807 VISTA LN, Austin, TX",Electrical Permit,$262746
2025-136941 EP,"3309 CHERRY LN, Austin, TX",Electrical Permit,$120447
2025-139182 EP,"2007 ARPDALE ST, Austin, TX",Electrical Permit,$187537
2025-134852 BP,"4705 SARA DR, Austin, TX",Building Permit,$144611
2025-139182 BP,"2007 ARPDALE ST, Austin, TX",Building Permit,$159285
2025-133697 BP,"15001 WELLS PORT DR, Austin, TX",Building Permit,$145866
2025-137369 PP,"11704 CLIVDEN CIR, Austin, TX",Plumbing Permit,$134095
2025-135696 BP,"1302 THORNRIDGE RD, Austin, TX",Building Permit,$243946
2025-139177 BP,"301 CONGRESS AVE UNIT 700, Austin, TX",Building Permit,$298714
2025-118925 BP,"13300 COUNCIL BLUFF DR, Austin, TX",Building Permit,$211486
2025-137449 DS,"1125 SHADY LN, Austin, TX",Driveway / Sidewalks,$278929
2025-137783 EP,"2710 ENFIELD RD, Austin, TX",Electrical Permit,$106785
2025-130994 PP,"3805 PETES PATH UNIT B, Austin, TX",Plumbing Permit,$255068
2025-135825 MP,"3913 E MARTIN LUTHER KING JR BLVD, Austin, TX",Mechanical Permit,$161910
2025-137725 EP,"12901 N IH 35 SVRD NB, Austin, TX",Electrical Permit,$156517
2025-139152 MP,"9 PALMA CIR, Austin, TX",Mechanical Permit,$173878
2025-138222 EP,"6306 SHOAL CREEK WEST DR, Austin, TX",Electrical Permit,$85102
2025-138220 PP,"9902 WILLERS WAY, Austin, TX",Plumbing Permit,$184260
