permit_number,address,type,value
2025-105497 EP,"5120 JEKINS CV, Chattanooga, TN",Electrical Permit,$294812
2025-089615 EP,"11066 PECAN PARK BLVD UNIT MECH, Chattanooga, TN",Electrical Permit,$197077
2025-134769 PP,"2302 STANDISH DR, Chattanooga, TN",Plumbing Permit,$270438
2025-134981 EP,"2702 MOONLIGHT BND, Chattanooga, TN",Electrical Permit,$183572
2025-070698 EP,"12416 MALLARD LN, Chattanooga, TN",Electrical Permit,$202151
2025-140012 BP,"11312 COUNTY DOWN DR, Chattanooga, TN",Building Permit,$145408
2025-137168 EP,"6305 WAYNESBURG CV, Chattanooga, TN",Electrical Permit,$139999
2025-138181 PP,"2507 INWOOD PL, Chattanooga, TN",Plumbing Permit,$224850
2025-137097 BP,"503 SWANEE DR UNIT 3, Chattanooga, TN",Building Permit,$115390
2025-094472 DS,"4700 PHILCO DR, Chattanooga, TN",Driveway / Sidewalks,$55234
2025-138685 BP,"12901 STAYWELL WAY, Chattanooga, TN",Building Permit,$113743
2025-132713 MP,"7601 RIDGESTONE DR, Chattanooga, TN",Mechanical Permit,$196608
2025-055173 MP,"612 BRAZOS ST, Chattanooga, TN",Mechanical Permit,$173009
2025-138172 EP,"5624 N LAMAR BLVD, Chattanooga, TN",Electrical Permit,$94522
2025-139198 MP,"5105 PROCK LN, Chattanooga, TN",Mechanical Permit,$195749
2025-139267 PP,"3020 JUBILEE TRL, Chattanooga, TN",Plumbing Permit,$110015
2024-100574 EP,"3604 TOM MILLER ST, Chattanooga, TN",Electrical Permit,$275771
2025-138553 EP,"12901 N IH 35 SVRD NB, Chattanooga, TN",Electrical Permit,$154972
2025-135467 MP,"10616 LEGENDS LN, Chattanooga, TN",Mechanical Permit,$93138
2025-131430 MP,"7506 SHERWOOD RD, Chattanooga, TN",Mechanical Permit,$283762
2025-089617 PP,"11066 PECAN PARK BLVD UNIT MECH, Chattanooga, TN",Plumbing Permit,$292197
2025-118575 MP,"12565 RIATA VISTA CIR BLDG 4, Chattanooga, TN",Mechanical Permit,$213077
2025-124131 PP,"5108 FAIRVIEW DR, Chattanooga, TN",Plumbing Permit,$234928
2025-065776 EP,"1200 BELMONT PKWY, Chattanooga, TN",Electrical Permit,$228909
2025-139535 BP,"4004 LOB CV, Chattanooga, TN",Building Permit,$205202
2025-125029 EP,"3308 STONERIDGE RD BLDG 1, Chattanooga, TN",Electrical Permit,$128810
2025-113227 EP,"2900 WILLOWBRIDGE CIR, Chattanooga, TN",Electrical Permit,$87123
2025-136788 PP,"6921 SHANNON DR, Chattanooga, TN",Plumbing Permit,$286881
2025-137678 EP,"2420 DREW LN BLDG 4, Chattanooga, TN",Electrical Permit,$286205
2025-110828 EP,"11515 BURNET RD UNIT 875, Chattanooga, TN",Electrical Permit,$296475
2025-138169 EP,"5624 N LAMAR BLVD, Chattanooga, TN",Electrical Permit,$240524
2025-105801 EP,"2003 GREENWOOD AVE BLDG 2, Chattanooga, TN",Electrical Permit,$85619
2025-138656 PP,"9110 CURLEW DR, Chattanooga, TN",Plumbing Permit,$288387
2025-107231 EP,"110 BELLA MONTAGNA CIR, Chattanooga, TN",Electrical Permit,$156995
2025-107767 PP,"7010 WOODFORD WAY, Chattanooga, TN",Plumbing Permit,$95251
2025-094299 PP,"5108 FAIRVIEW DR, Chattanooga, TN",Plumbing Permit,$113936
2025-121225 EP,"7700 ROBALO RD, Chattanooga, TN",Electrical Permit,$95836
2025-069068 DS,"1037 NILE ST BLDG 1, Chattanooga, TN",Driveway / Sidewalks,$255897
2025-107963 EP,"11514 ROCKWELL PL, Chattanooga, TN",Electrical Permit,$126205
2025-123743 PP,"8820 BURNET RD UNIT 400, Chattanooga, TN",Plumbing Permit,$207588
2025-114415 EP,"6505 LADERA NORTE, Chattanooga, TN",Electrical Permit,$225598
2025-111860 PP,"5914 LOST HORIZON DR, Chattanooga, TN",Plumbing Permit,$298032
2025-135491 PP,"6114 SIERRA LEON, Chattanooga, TN",Plumbing Permit,$113435
2025-137827 EP,"12707 PALFREY DR, Chattanooga, TN",Electrical Permit,$215584
2025-127553 MP,"9500 ARBORETUM BLVD UNIT 210, Chattanooga, TN",Mechanical Permit,$245586
2025-136883 PP,"8304 HIGH OAK DR, Chattanooga, TN",Plumbing Permit,$149834
2025-103490 EP,"1807 VISTA LN, Chattanooga, TN",Electrical Permit,$87493
2025-136941 EP,"3309 CHERRY LN, Chattanooga, TN",Electrical Permit,$284926
2025-139182 EP,"2007 ARPDALE ST, Chattanooga, TN",Electrical Permit,$277503
2025-134852 BP,"4705 SARA DR, Chattanooga, TN",Building Permit,$165515
2025-139182 BP,"2007 ARPDALE ST, Chattanooga, TN",Building Permit,$156422
2025-133697 BP,"15001 WELLS PORT DR, Chattanooga, TN",Building Permit,$147163
2025-137369 PP,"11704 CLIVDEN CIR, Chattanooga, TN",Plumbing Permit,$230676
2025-135696 BP,"1302 THORNRIDGE RD, Chattanooga, TN",Building Permit,$196786
2025-139177 BP,"301 CONGRESS AVE UNIT 700, Chattanooga, TN",Building Permit,$252413
2025-118925 BP,"13300 COUNCIL BLUFF DR, Chattanooga, TN",Building Permit,$227632
2025-137449 DS,"1125 SHADY LN, Chattanooga, TN",Driveway / Sidewalks,$68886
2025-137783 EP,"2710 ENFIELD RD, Chattanooga, TN",Electrical Permit,$149414
2025-130994 PP,"3805 PETES PATH UNIT B, Chattanooga, TN",Plumbing Permit,$184215
2025-135825 MP,"3913 E MARTIN LUTHER KING JR BLVD, Chattanooga, TN",Mechanical Permit,$190759
2025-137725 EP,"12901 N IH 35 SVRD NB, Chattanooga, TN",Electrical Permit,$88584
2025-139152 MP,"9 PALMA CIR, Chattanooga, TN",Mechanical Permit,$213380
2025-138222 EP,"6306 SHOAL CREEK WEST DR, Chattanooga, TN",Electrical Permit,$112658
2025-138220 PP,"9902 WILLERS WAY, Chattanooga, TN",Plumbing Permit,$228716
2025-016422 EP,"3405 1/2 STECK AVE, Chattanooga, TN",Electrical Permit,$166360
