permit_number,address,type,value
2025-143038 MP,"9016 PEAFOWL ST, Nashville, TN",Mechanical Permit,$139754
2025-143989 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$222468
2025-143089 BP,"2509 TARRYHILL PL, Nashville, TN",Building Permit,$73619
2025-143993 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$177359
2025-143534 BP,"1507 PARKWAY, Nashville, TN",Building Permit,$68964
2025-140836 PP,"4500 DOVEHILL DR, Nashville, TN",Plumbing Permit,$241693
2025-121132 EP,"12508 DEER FALLS DR, Nashville, TN",Electrical Permit,$98783
2025-074160 BP,"2611 DEERFOOT TRL, Nashville, TN",Building Permit,$271005
2025-143242 BP,"10021 MOUNT RAINIER DR, Nashville, TN",Building Permit,$185694
2025-143373 EP,"508 SEMINOLE DR, Nashville, TN",Electrical Permit,$100861
2025-143190 PP,"9201 BRODIE LN BLDG 38 UNIT 3803, Nashville, TN",Plumbing Permit,$98223
2025-140691 EP,"16407 KIDD LN, Nashville, TN",Electrical Permit,$161667
2025-111868 MP,"6320 ED BLUESTEIN BLVD SB, Nashville, TN",Mechanical Permit,$132193
2025-144105 BP,"6800 MEADOW CIR, Nashville, TN",Building Permit,$97753
2025-142112 EP,"1701 BROADMOOR DR, Nashville, TN",Electrical Permit,$240624
2025-143970 BP,"8301 JOHNNY MORRIS RD BLDG CP4, Nashville, TN",Building Permit,$93385
2025-141899 PP,"4407 GANYMEDE DR, Nashville, TN",Plumbing Permit,$52958
2025-143899 BP,"6805 STONLEIGH PL, Nashville, TN",Building Permit,$237119
2025-143971 BP,"8301 JOHNNY MORRIS RD BLDG CANOPY1, Nashville, TN",Building Permit,$113684
2025-143968 BP,"8301 JOHNNY MORRIS RD BLDG 4, Nashville, TN",Building Permit,$207736
2025-144004 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$124159
2025-142066 PP,"14100 AVERY RANCH BLVD UNIT 1102, Nashville, TN",Plumbing Permit,$154708
2025-143991 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$146469
2025-120865 PP,"4507 HANK AVE, Nashville, TN",Plumbing Permit,$292361
2025-142530 EP,"17208 WIND CHIME DR, Nashville, TN",Electrical Permit,$258696
2025-143990 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$126494
2025-133324 PP,"11917 MURANO DR, Nashville, TN",Plumbing Permit,$147089
2025-143992 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$147280
2025-143313 PP,"12611 CEDAR ST, Nashville, TN",Plumbing Permit,$163448
2025-141082 EP,"500 MAIRO ST, Nashville, TN",Electrical Permit,$250587
2025-138130 MP,"8808 GOLDEN LION DR, Nashville, TN",Mechanical Permit,$240327
2025-140990 MP,"1112 W BEN WHITE BLVD SVRD WB UNIT 400, Nashville, TN",Mechanical Permit,$115495
2025-143758 EP,"311 E 5TH ST, Nashville, TN",Electrical Permit,$113093
2025-144165 PP,"2206 BLUE MEADOW DR, Nashville, TN",Plumbing Permit,$203088
2025-143613 BP,"2306 ROGGE LN, Nashville, TN",Building Permit,$54024
2025-139584 DS,"1141 1/2 GUNTER ST, Nashville, TN",Driveway / Sidewalks,$219614
2025-097000 EP,"2213 DEADWOOD DR, Nashville, TN",Electrical Permit,$124339
2025-139189 PP,"1604 GARDEN ST, Nashville, TN",Plumbing Permit,$249924
2025-143551 PP,"12611 N MOPAC EXPY SVRD NB, Nashville, TN",Plumbing Permit,$202972
2025-128765 EP,"2100 MOUNTAIN VIEW RD UNIT B, Nashville, TN",Electrical Permit,$247056
2025-142607 BP,"6206 PONCA ST, Nashville, TN",Building Permit,$134003
2022-177000 PP,"3005 WESTLAKE DR, Nashville, TN",Plumbing Permit,$203510
2025-142935 EP,"8301 1/2 JOHNNY MORRIS RD, Nashville, TN",Electrical Permit,$192100
2025-133353 DS,"1713 PIEDMONT AVE, Nashville, TN",Driveway / Sidewalks,$189983
2025-142048 PP,"8612 MILLWAY DR, Nashville, TN",Plumbing Permit,$91746
2025-141586 EP,"9217 CALVERT WAY, Nashville, TN",Electrical Permit,$182700
2025-128764 EP,"2100 MOUNTAIN VIEW RD UNIT A, Nashville, TN",Electrical Permit,$61658
2025-141890 EP,"2330 S LAMAR BLVD, Nashville, TN",Electrical Permit,$232063
2025-140831 PP,"2303 BITTER CREEK DR, Nashville, TN",Plumbing Permit,$238760
2025-143986 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$230372
2025-138878 EP,"3406 BANTON RD, Nashville, TN",Electrical Permit,$246859
2025-142633 BP,"4606 AVENUE H, Nashville, TN",Building Permit,$90107
2025-144003 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$110211
2025-132152 EP,"11101 TOWNSHIP CV, Nashville, TN",Electrical Permit,$205034
2025-143822 EP,"10900 RESEARCH BLVD SVRD SB BLDG C, Nashville, TN",Electrical Permit,$220463
2025-141476 PP,"7516 JOURNEYVILLE DR, Nashville, TN",Plumbing Permit,$51882
2025-142570 EP,"9049 VIGEN CIR, Nashville, TN",Electrical Permit,$190522
2025-143977 BP,"8301 JOHNNY MORRIS RD BLDG DP1, Nashville, TN",Building Permit,$243974
2025-140018 MP,"3602 MARCAE CT, Nashville, TN",Mechanical Permit,$286970
2025-141458 PP,"11604 TRIDENS CT, Nashville, TN",Plumbing Permit,$241123
2025-143994 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$253926
2025-142057 PP,"7708 SAN FELIPE BLVD BLDG M UNIT 42, Nashville, TN",Plumbing Permit,$138177
2025-137885 PP,"5408 MONTVIEW ST, Nashville, TN",Plumbing Permit,$90736
2025-140757 PP,"6701 ROTAN DR, Nashville, TN",Plumbing Permit,$178298
2025-143189 PP,"1612 WILLOW ST UNIT B, Nashville, TN",Plumbing Permit,$56080
2025-100692 PP,"6908 RUFUS DR, Nashville, TN",Plumbing Permit,$57195
2025-142941 EP,"4302 WATERFORD PL, Nashville, TN",Electrical Permit,$262546
2025-143038 EP,"9016 PEAFOWL ST, Nashville, TN",Electrical Permit,$194309
2025-140760 PP,"9432 JENARO CT, Nashville, TN",Plumbing Permit,$265239
2025-139062 EP,"8600 N LAMAR BLVD BLDG D, Nashville, TN",Electrical Permit,$137656
2025-143545 BP,"6913 CASTLEKEEP WAY, Nashville, TN",Building Permit,$71131
2025-143973 BP,"8301 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$91276
2025-014465 EP,"2610 S IH 35 SVRD SB, Nashville, TN",Electrical Permit,$119431
2025-099630 PP,"9501 DINGO DR, Nashville, TN",Plumbing Permit,$242733
2025-141599 EP,"9009 NILGAI DR, Nashville, TN",Electrical Permit,$78780
2025-142580 PP,"13109 TAMAR CT, Nashville, TN",Plumbing Permit,$53853
2025-143038 BP,"9016 PEAFOWL ST, Nashville, TN",Building Permit,$256477
2024-133042 MP,"2500 BRAEMAR CV, Nashville, TN",Mechanical Permit,$252026
2025-140990 EP,"1112 W BEN WHITE BLVD SVRD WB UNIT 400, Nashville, TN",Electrical Permit,$60405
2025-143456 BP,"11266 TAYLOR DRAPER LN BLDG 26, Nashville, TN",Building Permit,$84708
2022-108718 BP,"1812 CLIFFORD AVE, Nashville, TN",Building Permit,$279943
2025-141713 EP,"8619 WINDING WALK, Nashville, TN",Electrical Permit,$160061
2025-143972 BP,"8301 JOHNNY MORRIS RD BLDG CANOPY2, Nashville, TN",Building Permit,$242158
2025-091390 EP,"2702 E CESAR CHAVEZ ST, Nashville, TN",Electrical Permit,$76855
2025-143147 MP,"3304 AUTUMN BAY DR, Nashville, TN",Mechanical Permit,$125101
2025-144121 BP,"6909 SABRINA DR, Nashville, TN",Building Permit,$181180
2025-142273 EP,"205 MEDINA--BLDG 1, Nashville, TN",Electrical Permit,$89190
2025-142062 PP,"3815 MENCHACA RD UNIT 29, Nashville, TN",Plumbing Permit,$161957
2025-142625 PP,"7814 RUTGERS AVE, Nashville, TN",Plumbing Permit,$224233
2025-140990 PP,"1112 W BEN WHITE BLVD SVRD WB UNIT 400, Nashville, TN",Plumbing Permit,$256869
2025-141448 EP,"3016 WEST TERRACE DR, Nashville, TN",Electrical Permit,$73695
2024-164426 BP,"95 CLARA ST, Nashville, TN",Building Permit,$230825
2025-139422 EP,"1310 BERKSHIRE DR, Nashville, TN",Electrical Permit,$63357
2024-096029 MP,"4910 CRAIG DR, Nashville, TN",Mechanical Permit,$148721
2025-136078 PP,"4602 LAUREL CANYON DR, Nashville, TN",Plumbing Permit,$98615
2025-141797 EP,"500 CANYON RIM DR, Nashville, TN",Electrical Permit,$67629
2025-143928 PP,"4410 SPEEDWAY BLDG B, Nashville, TN",Plumbing Permit,$140168
2025-136440 PP,"4107 E YAGER LN BLDG 2, Nashville, TN",Plumbing Permit,$57979
2025-142054 MP,"4913 BARCLAY HEIGHTS CT, Nashville, TN",Mechanical Permit,$159186
2025-140021 MP,"2114 GOODRICH AVE UNIT 9, Nashville, TN",Mechanical Permit,$197970
2025-125144 EP,"422 GUADALUPE ST, Nashville, TN",Electrical Permit,$266434
2025-138118 BP,"8304 APPALACHIAN DR, Nashville, TN",Building Permit,$275247
2025-143997 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$185354
2025-140204 PP,"14812 AVERY RANCH BLVD BLDG 9, Nashville, TN",Plumbing Permit,$121927
2025-144061 PP,"1404 PARK CENTER DR, Nashville, TN",Plumbing Permit,$203587
2025-143995 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$104628
2025-133861 PP,"12013 RUSSO DR, Nashville, TN",Plumbing Permit,$225587
2025-140843 PP,"1702 SANCHEZ ST, Nashville, TN",Plumbing Permit,$223115
2025-142691 MP,"6304 BETTY COOK DR BLDG B, Nashville, TN",Mechanical Permit,$74266
2025-120866 PP,"4507 HANK AVE BLDG 2, Nashville, TN",Plumbing Permit,$64516
2025-139724 PP,"11801 VIA GRANDE DR, Nashville, TN",Plumbing Permit,$216929
2025-143039 EP,"7304 CALLBRAM LN, Nashville, TN",Electrical Permit,$177614
2025-142086 EP,"13017 STAYWELL WAY, Nashville, TN",Electrical Permit,$147212
2025-141781 BP,"407 1/2 W 27TH ST, Nashville, TN",Building Permit,$290933
2025-142193 MP,"12817 COUNCIL BLUFF DR, Nashville, TN",Mechanical Permit,$128874
2025-142628 BP,"2409 GLEN SPRINGS WAY, Nashville, TN",Building Permit,$69428
2025-096947 BP,"2509 TARRYHILL PL, Nashville, TN",Building Permit,$79832
2022-152739 PP,"3007 LOCKE LN, Nashville, TN",Plumbing Permit,$53967
2025-141127 BP,"2702 ENFIELD RD, Nashville, TN",Building Permit,$91003
2025-142076 MP,"911 TAULBEE LN UNIT A, Nashville, TN",Mechanical Permit,$198043
2025-140785 PP,"4530 CLAWSON RD BLDG 2, Nashville, TN",Plumbing Permit,$115925
2025-072650 MP,"9200 HAMADRYAS DR, Nashville, TN",Mechanical Permit,$55948
2025-143987 BP,"8001 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$240073
2025-140303 MP,"2004 TRAVIS HEIGHTS BLVD, Nashville, TN",Mechanical Permit,$59483
2025-143985 BP,"8301 JOHNNY MORRIS RD, Nashville, TN",Building Permit,$175053
2025-141977 EP,"500 BRAMBLE DR, Nashville, TN",Electrical Permit,$131912
2008-005377 EP,"4909 ROLLINGWOOD DR, Nashville, TN",Electrical Permit,$164647
2025-085821 EP,"4901 RIDGE OAK DR, Nashville, TN",Electrical Permit,$196207
2025-143769 PP,"8921 W US 290 HWY BLDG 7, Nashville, TN",Plumbing Permit,$79349
2025-141905 PP,"11300 WET SEASON DR, Nashville, TN",Plumbing Permit,$237642
2025-142747 EP,"2509 TARRYHILL PL, Nashville, TN",Electrical Permit,$84908
2025-140724 MP,"3445 GREYSTONE DR, Nashville, TN",Mechanical Permit,$52877
2025-132523 EP,"4614 CRESTWAY DR, Nashville, TN",Electrical Permit,$99912
2025-142245 MP,"9337 BERNOULLI DR, Nashville, TN",Mechanical Permit,$231850
