permit_number,address,type,value,issued_date,status
ZP-2025-010540,3939 BRANDYWINE ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-012010,1821 N RINGGOLD ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-009663,430 MERCY ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011631,2624 OAKFORD ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011854,5128 LOCUST ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-010267,6218 LUDLOW ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011022,321 SHAWMONT AVE,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-009174,6429-31 CASTOR AVE,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-012060,4762 N 11TH ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-012050,1634 W THOMPSON ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-010522,1120 CARPENTER ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-010283,2317 W OXFORD ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-009956,3019 RICHMOND ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011552,907 WAGNER AVE,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011809,7500 CHELWYNDE AVE,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011672,22 WOLF ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-009593,6333 MALVERN AVE,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-004385,1725 INGERSOLL ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011188,2140 SPRING ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011613,3400 SPRUCE ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011980,1930 W BRISTOL ST,Zoning Permit,$0.00,2025-12-02,Issued
ZP-2025-011934,3050 N 8TH ST,Zoning Permit,$0.00,2025-12-02,Issued
PP-2025-015576,2130 N 29TH ST,Plumbing Permit,$0.00,2025-12-02,Issued
PP-2025-015402,3859 N 16TH ST,Plumbing Permit,$0.00,2025-12-02,Issued
PP-2025-015379,5004 PULASKI AVE,Plumbing Permit,$0.00,2025-12-02,Issued
SP-2025-001190,1400 E OXFORD ST,Site / Utility Permit,$0.00,2025-12-02,Issued
PP-2025-014814,1621 BARRINGER ST,Plumbing Permit,$0.00,2025-12-02,Issued
EP-2025-010091,2643 N 6TH ST,Electrical Permit,$0.00,2025-12-02,Issued
EP-2025-011480,116 N CROSKEY ST,Electrical Permit,$0.00,2025-12-02,Issued
EP-2025-008803,5700 HAVERFORD AVE,Electrical Permit,$0.00,2025-12-02,Issued
MP-2025-006184,3227 N BAILEY ST,Mechanical / Fuel Gas Permit,$0.00,2025-12-02,Issued
FP-2025-000859,2001 RICHMOND ST,Fire Suppression Permit,$0.00,2025-12-02,Issued
PP-2025-015236,5313 HEDGE ST,Plumbing Permit,$0.00,2025-12-02,Issued
