permit_number,address,type,value,issued_date,status
2025-150464 PP,6103 SHOALWOOD AVE,Plumbing Permit,0,2025-11-30,
2025-094570 EP,7202 DEE ST,Electrical Permit,0,2025-11-30,
2025-149221 PP,5001 WEST PARK DR,Plumbing Permit,0,2025-11-30,
2025-135631 PP,1309 ALGUNO RD BLDG 2,Plumbing Permit,0,2025-11-30,
2025-146703 BP,21 SCOTT CRES,Building Permit,0,2025-11-30,
2025-135630 PP,1309 ALGUNO RD,Plumbing Permit,0,2025-11-30,
2025-151590 PP,4905 AIRPORT BLVD,Plumbing Permit,0,2025-11-30,
2024-046914 BP,1614 SUFFOLK DR,Building Permit,0,2025-11-30,
2025-150208 EP,2803 FIRECREST DR,Electrical Permit,0,2025-11-29,
2025-148057 BP,4200 VALLEY VIEW RD UNIT B,Building Permit,1,2025-11-29,
2025-150472 EP,14913 ALPHA COLLIER DR,Electrical Permit,0,2025-11-29,
2025-146314 PP,1707 WESTMOOR DR,Plumbing Permit,0,2025-11-29,
2025-064655 EP,1103 BOULDIN AVE,Electrical Permit,0,2025-11-29,
2025-115013 MP,2203 ONION CREEK PKWY UNIT 18,Mechanical Permit,0,2025-11-28,
2025-150236 BP,8225 COBBLESTONE,Building Permit,1,2025-11-28,
2025-150694 PP,444 E ST ELMO RD BLDG B,Plumbing Permit,0,2025-11-28,
2024-163106 MP,1106 TRAVIS HEIGHTS BLVD,Mechanical Permit,0,2025-11-28,
2025-135633 EP,1309 ALGUNO RD BLDG 2,Electrical Permit,0,2025-11-28,
2025-149372 PP,1112 REAGAN TER,Plumbing Permit,0,2025-11-28,
2025-150093 EP,1101 E APPLEGATE DR,Electrical Permit,0,2025-11-28,
2025-122746 PP,6720 HOT SPRINGS DR,Plumbing Permit,0,2025-11-28,
2024-091535 MP,1906 MAPLE AVE,Mechanical Permit,0,2025-11-28,
2025-064655 MP,1103 BOULDIN AVE,Mechanical Permit,0,2025-11-28,
2025-103667 EP,6203 GROVER AVE,Electrical Permit,0,2025-11-28,
2025-128603 EP,1711 SINGLETON AVE,Electrical Permit,0,2025-11-28,
2025-150509 MP,11625 YEADON WAY,Mechanical Permit,0,2025-11-28,
2025-148839 MP,6905 CREIGHTON LN,Mechanical Permit,0,2025-11-28,
2025-142919 EP,2913 STONEWAY DR,Electrical Permit,0,2025-11-27,
2025-145276 PP,1904 W 33RD ST BLDG A,Plumbing Permit,0,2025-11-27,
2025-133378 EP,7101 N UTE TRL,Electrical Permit,0,2025-11-27,
2025-146581 EP,1812 MAPLE AVE BLDG B,Electrical Permit,0,2025-11-27,
2025-150356 PP,4600 DESTINYS GATE DR,Plumbing Permit,0,2025-11-27,
2025-141048 EP,202 NORTHCREST CIR,Electrical Permit,0,2025-11-27,
2025-146746 EP,9722 GREAT HILLS TRL UNIT 125,Electrical Permit,0,2025-11-27,
2025-149780 PP,12611 ANDROMEDA CV,Plumbing Permit,0,2025-11-26,
2025-149566 PP,9221 FURMAN DR,Plumbing Permit,0,2025-11-26,
2025-149165 EP,3405 CAMBRIDGE CT UNIT B,Electrical Permit,0,2025-11-26,
2025-148290 DS,8700 SHOAL CREEK BLVD,Driveway / Sidewalks,0,2025-11-26,
2024-044186 BP,2013 HOLLAND AVE,Building Permit,0,2025-11-26,
2024-128976 MP,311 E 5TH ST,Mechanical Permit,0,2025-11-26,
2025-151543 PP,9807 N FM 620 RD BLDG 16,Plumbing Permit,0,2025-11-26,
2025-149541 EP,16720 SONOMA BREEZE DR,Electrical Permit,0,2025-11-26,
2025-150003 BP,2005 EXPOSITION BLVD,Building Permit,1,2025-11-26,
2025-094570 PP,7202 DEE ST,Plumbing Permit,0,2025-11-26,
2023-131239 DS,11507 SIERRA NEVADA,Driveway / Sidewalks,0,2025-11-26,
2025-146672 PP,4808 WEST PARK DR,Plumbing Permit,0,2025-11-26,
2025-151210 BP,7300 AVA LN,Building Permit,1,2025-11-26,
2025-140755 BP,2808 SAN PEDRO ST,Building Permit,1,2025-11-26,
2025-150054 MP,4912 SARA DR UNIT A,Mechanical Permit,0,2025-11-26,
2025-150494 BP,3801 ISLAND WAY,Building Permit,600000,2025-11-26,
2025-147427 EP,4214 KACHINA DR,Electrical Permit,0,2025-11-26,
2025-148729 BP,7006 GUADALUPE ST,Building Permit,0,2025-11-26,
2025-150224 EP,1801 ALAMEDA DR UNIT 2,Electrical Permit,0,2025-11-26,
2025-151134 BP,5311 PEACEDALE LN,Building Permit,1,2025-11-26,
2025-148488 BP,2605 HARLEYHILL DR,Building Permit,1,2025-11-26,
2025-150148 BP,1804 ULLRICH AVE,Building Permit,0,2025-11-26,
2025-149988 EP,3913 TODD LN UNIT 512,Electrical Permit,0,2025-11-26,
2025-150049 MP,5306 GLADSTONE DR,Mechanical Permit,0,2025-11-26,
2025-151566 PP,9807 N FM 620 RD BLDG 24,Plumbing Permit,0,2025-11-26,
2025-149558 MP,2666 BARTON HILLS DR,Mechanical Permit,0,2025-11-26,
2025-060540 BP,10204 CURB STRAP DR,Building Permit,0,2025-11-26,
2025-148312 BP,3213 WALNUT AVE UNIT A,Building Permit,0,2025-11-26,
2025-151537 PP,9807 N FM 620 RD BLDG 14,Plumbing Permit,0,2025-11-26,
