date,city,permit_type,permit_number,address,description
2025-12-09T00:00:00.000,Austin,Plumbing Permit,2025-137655 PP,4007 EDGEROCK DR,Cap off water/waste water lines
2025-12-09T00:00:00.000,Austin,Plumbing Permit,2025-149776 PP,4007 EDGEROCK DR,ePlan: Residential Expedited Review -  New construction of a 2-Story Single Family Res. [4 bed 4bath]  Attached Carport.
2025-12-09T00:00:00.000,Austin,Plumbing Permit,2025-149777 PP,4007 EDGEROCK DR,Autofill/Heated pool/spa.
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-152515 PP,5106 CLOVERDALE LN,Replacement of an existing water heater Replace 40-gallon gas water heater in garage
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-151054 MP,8700 BRODIE LN BLDG 5 UNIT 527,Replacement of complete existing central heat and air system with or without duct work
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-153409 EP,1501 HARDOUIN AVE,Whole home generator installation.
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-152322 PP,11500 SATCHEL DR,Replacement of an existing water heater Standard 40 Gal Natural Gas water heater change out   11500 Satchel Drive Austin TX 78754
2025-12-08T00:00:00.000,Austin,Building Permit,2025-153294 BP,3813 WADFORD ST,AT&T proposes to - Tower SOW: Remove (3) RRu Radios (3) Diplexers & (10) 50A Coax. Decommission (3) RRUs B2 / B66 Radios (in place) Relocated (3) Air Antennas Install mount modification per mount analysis Install (3) Air Antennas Install (3) B25 / B66 Radios Ground SOW: Install (6) 50A DC Breakers in existing DC Power Plant
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-153136 PP,8009 RUNNING WATER DR,Excavate 10 tunnel to repair drain line under house
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-085210 PP,3711 BRIDLE PATH UNIT 2,Retro Active permit of accessory dwelling unit and attached carport
2025-12-08T00:00:00.000,Austin,Building Permit,2025-155039 BP,13229 KINCANE DR,2245CL NEW 2 STORY 4 BEDROOM 3 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-151595 PP,5406 BULL RUN CIR,Per PC agent: Tunneling 70 sewer replacement with 4 access holes & Trenching 100 sewer replacement in yard 12/5/2025  Tunneling under home to replace entire sewer system with 3-4 access holes Total of 70 sewer replacement
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-153736 PP,14017 AXEL JOHANSON DR,New Construction of SFR in ETJ
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-151791 MP,2206 BLUE MEADOW DR,Construction of a new 67619 SF two story elementary school (Building A)
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-144518 EP,502 BRUSHY ST,28321 Brushy Street Commons Exterior Signs EAST Elevation
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-154529 MP,7000 CONVICT HILL RD UNIT 6212,Replacement of complete existing central heat and air system with or without duct work
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-149863 MP,5222 ROGERS LN,Replacement of complete existing central heat and air system with or without duct work replaced central HVAC system with ductwork
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-155288 PP,1106 W DITTMAR RD,ePlan: Expedited Review - Addition and Interior Remodel to an existing Hospital to include installation of new electrical panels (14700 SF).
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-150288 MP,3232 E CESAR CHAVEZ ST UNIT 2300,ePlan Review:  Tenant Finish out to create office (7 applications-unit 2220 224022602300234023602380)
2025-12-08T00:00:00.000,Austin,Building Permit,2025-154828 BP,1830 SIMOND AVE,Change the Accessory Use in Rooms 226-229 from Day Care Services back to the previous flexible assembly space. No work proposed
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-148097 EP,1323 S CONGRESS AVE,ARIAT w/logo illuminated face-lit Channel letters for storefront
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-134561 EP,9205 THE RAVINE WAY,New inground swimming pool and concrete decking w/ reqd enclosure device for existing 2-story single family residence.
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-150748 EP,5414 ROGERS LN BLDG B,Overhead service riser damaged by moving truck. We are to replace damaged components without altering the service amperages or set up in any manner.
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-153345 EP,12110 CANTABRIA RD,homebuilder loop refer to 2025 - 151529 BP
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-149245 EP,3309 KAY ST,interior remodel/garage conversion - enclosing the back porch area and adding the space to the existing laundry room. Dining room back door will be relocated from the south to the west side of the house
2025-12-08T00:00:00.000,Austin,Building Permit,2025-150927 BP,11125 AVERING LN,Express- Replace 2 tub to shower 1 piece prefabricated acrylic no electrical work needed replace valve with new shower valve only working in wet space.
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-151056 MP,701 W LONGSPUR BLVD UNIT 2081,Replacement of complete existing central heat and air system with or without duct work
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-139203 EP,9601 STREAMSIDE DR,Rooftop solar upgrade to existing residence. Existing system removed.
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-154273 EP,3011 FONTANA DR UNIT A,Reference: 2025-115675EP & 2025-115676 Temp. Overhead meter loop for construction will be building New Duplex.
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-145160 EP,11101 BENDING BOUGH TRL,Meter base replacement
2025-12-08T00:00:00.000,Austin,Building Permit,2025-154976 BP,8009 CORRIGAN PASS,New construction in-ground pool w/ concrete deck.
2025-12-08T00:00:00.000,Austin,Driveway / Sidewalks,2025-143379 DS,3019 GARWOOD ST,Construct new driveway approach of 16 FT and sidewalk of 44 FT.
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-131767 EP,2903 OAKHURST AVE,Add New roof dormer interior remodel
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2023-156536 PP,8701 DECKER LAKE RD,Install water and waste water and fire line
2025-12-08T00:00:00.000,Austin,Building Permit,2025-146898 BP,1206 E 52ND ST BLDG B UNIT 201,Interior renovation of five units in a multi-family buildings. Construct fire rated partitions between units. Convert existing tubs to showers replace all existing counter tops cabinets and fixtures and equipment with new.    [7 Day Review - Multi-Apps. (5)]
2025-12-08T00:00:00.000,Austin,Electrical Permit,2025-117332 EP,4605 LAVA ISLAND DR,Abilene S402 A Right New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-153732 PP,14120 MATTEROD DR,New Construction of SFR in ETJ
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-147916 MP,12340 ALAMEDA TRACE CIR UNIT 2104,Replacement of complete existing central heat and air system with or without duct work
2025-12-08T00:00:00.000,Austin,Building Permit,2025-150564 BP,3210 KRAMER LN,Installation of EV Charging Stations
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-152105 PP,10116 ALY MAY DR,Replacement of an existing water heater Replace 40-gallon gas water heater inside garage.
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-138476 MP,7013 WOODFORD WAY,New construction single-family residential 2-story 4 bedroom 3.5 bath with attached 2-car garage covered front porch and covered rear patio.
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2023-076844 MP,1309 CHICON ST,5-story 53-unit mixed-use affordable housing project (separate permit) with retail shell space (THIS PERMIT) on the first floor. Units 101 - 103  This project is part of the Affordability Unlocked program and will also be a SMART housing project.
2025-12-08T00:00:00.000,Austin,Plumbing Permit,2025-146001 PP,5001 WESTVIEW DR,Cap off water/waste water
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-087156 MP,112 WILL DAVIS DR UNIT 110,Finish out to create Spec office. (Unit 110 and Unit 115)
2025-12-08T00:00:00.000,Austin,Mechanical Permit,2025-087157 MP,112 WILL DAVIS DR UNIT 115,Finish out to create Spec office. (Unit 110 and Unit 115)
