date,city,permit_type,permit_number,address,description
2025-11-09,Chattanooga,Residential,CHT25110901,"2625 Pine St, Chattanooga",Bathroom addition
2025-11-10,Chattanooga,Residential,CHT25111001,"4784 Main St, Chattanooga",Office buildout
2025-11-10,Chattanooga,Residential,CHT25111002,"7216 Market St, Chattanooga",Retail space
2025-11-10,Chattanooga,Residential,CHT25111003,"7049 Oak Ave, Chattanooga",Medical office
2025-11-11,Chattanooga,Residential,CHT25111101,"604 Main St, Chattanooga",Home renovation
2025-11-11,Chattanooga,Residential,CHT25111102,"9729 Main St, Chattanooga",Office buildout
2025-11-12,Chattanooga,Residential,CHT25111201,"8510 Main St, Chattanooga",Office buildout
2025-11-12,Chattanooga,Commercial,CHT25111202,"2662 Oak Ave, Chattanooga",Home renovation
2025-11-13,Chattanooga,Residential,CHT25111301,"2177 Main St, Chattanooga",Medical office
2025-11-14,Chattanooga,Commercial,CHT25111401,"1141 Pine St, Chattanooga",Office buildout
2025-11-14,Chattanooga,Residential,CHT25111402,"1556 Main St, Chattanooga",Retail space
2025-11-14,Chattanooga,Commercial,CHT25111403,"1077 Elm Dr, Chattanooga",Deck construction
2025-11-15,Chattanooga,Commercial,CHT25111501,"1089 Market St, Chattanooga",Medical office
2025-11-15,Chattanooga,Residential,CHT25111502,"9464 Broad St, Chattanooga",Medical office
2025-11-16,Chattanooga,Residential,CHT25111601,"7964 Elm Dr, Chattanooga",Restaurant renovation
2025-11-17,Chattanooga,Commercial,CHT25111701,"4367 Oak Ave, Chattanooga",Restaurant renovation
2025-11-18,Chattanooga,Residential,CHT25111801,"9818 Pine St, Chattanooga",Medical office
2025-11-19,Chattanooga,Residential,CHT25111901,"1986 Main St, Chattanooga",Office buildout
2025-11-19,Chattanooga,Residential,CHT25111902,"112 Broad St, Chattanooga",Bathroom addition
2025-11-20,Chattanooga,Residential,CHT25112001,"1146 Pine St, Chattanooga",Kitchen remodel
2025-11-20,Chattanooga,Residential,CHT25112002,"8544 Broad St, Chattanooga",Office buildout
2025-11-21,Chattanooga,Commercial,CHT25112101,"2527 Pine St, Chattanooga",Home renovation
2025-11-22,Chattanooga,Commercial,CHT25112201,"8695 Main St, Chattanooga",Kitchen remodel
2025-11-22,Chattanooga,Residential,CHT25112202,"5349 Main St, Chattanooga",Medical office
2025-11-22,Chattanooga,Commercial,CHT25112203,"7322 Main St, Chattanooga",Kitchen remodel
2025-11-23,Chattanooga,Commercial,CHT25112301,"1067 Broad St, Chattanooga",Medical office
2025-11-23,Chattanooga,Commercial,CHT25112302,"1259 Market St, Chattanooga",Home renovation
2025-11-24,Chattanooga,Residential,CHT25112401,"1572 Oak Ave, Chattanooga",Office buildout
2025-11-25,Chattanooga,Commercial,CHT25112501,"8726 Pine St, Chattanooga",Office buildout
2025-11-25,Chattanooga,Commercial,CHT25112502,"5954 Elm Dr, Chattanooga",Kitchen remodel
2025-11-25,Chattanooga,Commercial,CHT25112503,"6373 Broad St, Chattanooga",Kitchen remodel
2025-11-26,Chattanooga,Commercial,CHT25112601,"2266 Broad St, Chattanooga",Office buildout
2025-11-26,Chattanooga,Commercial,CHT25112602,"383 Elm Dr, Chattanooga",Home renovation
2025-11-26,Chattanooga,Residential,CHT25112603,"7457 Elm Dr, Chattanooga",Kitchen remodel
2025-11-27,Chattanooga,Commercial,CHT25112701,"8831 Main St, Chattanooga",Retail space
2025-11-27,Chattanooga,Commercial,CHT25112702,"189 Market St, Chattanooga",Kitchen remodel
2025-11-27,Chattanooga,Commercial,CHT25112703,"3955 Broad St, Chattanooga",Medical office
2025-11-28,Chattanooga,Commercial,CHT25112801,"8056 Market St, Chattanooga",Medical office
2025-11-29,Chattanooga,Residential,CHT25112901,"5805 Main St, Chattanooga",Kitchen remodel
2025-11-30,Chattanooga,Commercial,CHT25113001,"4844 Broad St, Chattanooga",Home renovation
2025-11-30,Chattanooga,Residential,CHT25113002,"7265 Market St, Chattanooga",Restaurant renovation
2025-12-01,Chattanooga,Residential,CHT25120101,"7174 Pine St, Chattanooga",Retail space
2025-12-02,Chattanooga,Commercial,CHT25120201,"2480 Market St, Chattanooga",Medical office
2025-12-02,Chattanooga,Commercial,CHT25120202,"6208 Main St, Chattanooga",Home renovation
2025-12-03,Chattanooga,Residential,CHT25120301,"8142 Broad St, Chattanooga",Kitchen remodel
2025-12-03,Chattanooga,Residential,CHT25120302,"9786 Broad St, Chattanooga",Deck construction
2025-12-04,Chattanooga,Residential,CHT25120401,"4389 Pine St, Chattanooga",Medical office
2025-12-04,Chattanooga,Residential,CHT25120402,"2845 Elm Dr, Chattanooga",Medical office
2025-12-04,Chattanooga,Residential,CHT25120403,"2292 Elm Dr, Chattanooga",Kitchen remodel
2025-12-05,Chattanooga,Residential,CHT25120501,"3738 Oak Ave, Chattanooga",Retail space
2025-12-05,Chattanooga,Commercial,CHT25120502,"7217 Main St, Chattanooga",Bathroom addition
2025-12-05,Chattanooga,Commercial,CHT25120503,"7869 Market St, Chattanooga",Deck construction
