date,city,permit_type,permit_number,address,description
2025-11-09,San Antonio,Commercial,SAT25110901,"2848 Houston St, San Antonio",Restaurant renovation
2025-11-09,San Antonio,Commercial,SAT25110902,"1103 Alamo Plaza, San Antonio",Restaurant renovation
2025-11-09,San Antonio,Residential,SAT25110903,"3533 River Walk, San Antonio",Retail space
2025-11-10,San Antonio,Commercial,SAT25111001,"8496 Houston St, San Antonio",Bathroom addition
2025-11-10,San Antonio,Residential,SAT25111002,"3995 Main Ave, San Antonio",Deck construction
2025-11-11,San Antonio,Commercial,SAT25111101,"5469 Main Ave, San Antonio",Home renovation
2025-11-11,San Antonio,Residential,SAT25111102,"7364 River Walk, San Antonio",Kitchen remodel
2025-11-11,San Antonio,Commercial,SAT25111103,"9080 Commerce St, San Antonio",Deck construction
2025-11-12,San Antonio,Commercial,SAT25111201,"4681 Alamo Plaza, San Antonio",Home renovation
2025-11-12,San Antonio,Commercial,SAT25111202,"4465 Alamo Plaza, San Antonio",Retail space
2025-11-13,San Antonio,Residential,SAT25111301,"8773 Main Ave, San Antonio",Bathroom addition
2025-11-13,San Antonio,Commercial,SAT25111302,"9420 Alamo Plaza, San Antonio",Bathroom addition
2025-11-13,San Antonio,Residential,SAT25111303,"6979 Commerce St, San Antonio",Deck construction
2025-11-14,San Antonio,Residential,SAT25111401,"9288 Houston St, San Antonio",Deck construction
2025-11-15,San Antonio,Residential,SAT25111501,"3112 Commerce St, San Antonio",Deck construction
2025-11-16,San Antonio,Commercial,SAT25111601,"796 River Walk, San Antonio",Retail space
2025-11-17,San Antonio,Commercial,SAT25111701,"1302 Alamo Plaza, San Antonio",Office buildout
2025-11-18,San Antonio,Residential,SAT25111801,"4858 Alamo Plaza, San Antonio",Bathroom addition
2025-11-18,San Antonio,Commercial,SAT25111802,"8146 Houston St, San Antonio",Office buildout
2025-11-19,San Antonio,Commercial,SAT25111901,"8971 Main Ave, San Antonio",Bathroom addition
2025-11-19,San Antonio,Commercial,SAT25111902,"3136 River Walk, San Antonio",Medical office
2025-11-20,San Antonio,Commercial,SAT25112001,"3961 Alamo Plaza, San Antonio",Retail space
2025-11-21,San Antonio,Commercial,SAT25112101,"3907 Alamo Plaza, San Antonio",Bathroom addition
2025-11-21,San Antonio,Commercial,SAT25112102,"454 River Walk, San Antonio",Retail space
2025-11-21,San Antonio,Commercial,SAT25112103,"6349 Houston St, San Antonio",Bathroom addition
2025-11-22,San Antonio,Residential,SAT25112201,"4901 River Walk, San Antonio",Retail space
2025-11-23,San Antonio,Commercial,SAT25112301,"6944 River Walk, San Antonio",Home renovation
2025-11-23,San Antonio,Commercial,SAT25112302,"7639 Houston St, San Antonio",Retail space
2025-11-24,San Antonio,Residential,SAT25112401,"6564 Commerce St, San Antonio",Retail space
2025-11-24,San Antonio,Residential,SAT25112402,"4440 Main Ave, San Antonio",Office buildout
2025-11-25,San Antonio,Residential,SAT25112501,"713 River Walk, San Antonio",Kitchen remodel
2025-11-25,San Antonio,Residential,SAT25112502,"5858 River Walk, San Antonio",Retail space
2025-11-25,San Antonio,Residential,SAT25112503,"5273 Commerce St, San Antonio",Bathroom addition
2025-11-26,San Antonio,Residential,SAT25112601,"6117 Houston St, San Antonio",Kitchen remodel
2025-11-26,San Antonio,Commercial,SAT25112602,"1726 River Walk, San Antonio",Restaurant renovation
2025-11-26,San Antonio,Commercial,SAT25112603,"3174 Commerce St, San Antonio",Restaurant renovation
2025-11-27,San Antonio,Residential,SAT25112701,"3678 Houston St, San Antonio",Home renovation
2025-11-27,San Antonio,Commercial,SAT25112702,"3687 River Walk, San Antonio",Bathroom addition
2025-11-28,San Antonio,Residential,SAT25112801,"6754 River Walk, San Antonio",Home renovation
2025-11-28,San Antonio,Residential,SAT25112802,"5886 Houston St, San Antonio",Home renovation
2025-11-28,San Antonio,Residential,SAT25112803,"3950 Alamo Plaza, San Antonio",Medical office
2025-11-29,San Antonio,Residential,SAT25112901,"2441 Main Ave, San Antonio",Medical office
2025-11-29,San Antonio,Residential,SAT25112902,"4782 Houston St, San Antonio",Office buildout
2025-11-30,San Antonio,Commercial,SAT25113001,"4100 Commerce St, San Antonio",Office buildout
2025-12-01,San Antonio,Commercial,SAT25120101,"2880 Commerce St, San Antonio",Deck construction
2025-12-02,San Antonio,Commercial,SAT25120201,"5428 Commerce St, San Antonio",Deck construction
2025-12-03,San Antonio,Commercial,SAT25120301,"2983 Alamo Plaza, San Antonio",Bathroom addition
2025-12-03,San Antonio,Commercial,SAT25120302,"5504 Alamo Plaza, San Antonio",Bathroom addition
2025-12-04,San Antonio,Commercial,SAT25120401,"4856 Main Ave, San Antonio",Medical office
2025-12-04,San Antonio,Commercial,SAT25120402,"431 River Walk, San Antonio",Deck construction
